,price,cap,name,concentration,value,units,units_den_adjusted
uni,17.09,8900534503.74588,uniswap,0.15,150.0,8.777062609713283,66.30526623756583
aave,199.59,2576765539.2871995,aave,0.11,110.0,0.5511298161230522,4.163444060323663
luna,5.28,2213002642.721828,terra-luna,0.1,100.0,18.939393939393938,143.07537878787878
mkr,2181.39,1974121640.2231038,maker,0.09,90.0,0.041258096901516925,0.3116793420708814
snx,6.55,1041574820.7543304,havven,0.08,80.0,12.213740458015268,92.26723664122137
rune,5.71,1571700562.7589927,thorchain,0.08,80.0,14.010507880910684,105.84070052539404
sushi,6.76,1292658260.337619,sushi,0.07,70.0,10.355029585798817,78.22582840236687
comp,235.03,1265746208.350942,compound-governance-token,0.07,70.0,0.2978343190231034,2.249953622941752
yfi,30142.0,1096216091.1535175,yearn-finance,0.06,60.0,0.0019905779311260034,0.015037582111339657
bnt,3.04,664725219.7798575,bancor,0.03,30.0,9.868421052631579,74.54980263157894
uma,8.85,546972327.8524616,uma,0.03,30.0,3.3898305084745766,25.60806779661017
zrx,0.640667,541510824.0119193,0x,0.025,25.0,39.02183193453073,294.78574672958024
crv,1.52,530124677.68184704,curve-dao-token,0.025,25.0,16.44736842105263,124.24967105263156
1inch,2.56,445750552.31433433,1inch,0.02,20.0,7.8125,59.018593749999994
ren,0.34273,303720763.9011539,republic-protocol,0.02,20.0,58.35497330259972,440.83564321769325
bal,17.04,185162412.8276441,balancer,0.01,10.0,0.5868544600938967,4.433321596244132
knc,1.31,127864553.43124726,kyber-network-crystal,0.01,10.0,7.633587786259541,57.66702290076335
BOND,33.22,112639059.04811338,barnbridge,0.01,10.0,0.30102347983142685,2.274045755568934
cream,141.59,104890996.94745395,cream-2,0.005,5.0,0.035313228335334415,0.26676954587188356
alpha,0.369183,105942283.47777186,alpha-finance,0.005,5.0,13.54341884647993,102.31213246547105
